ma_code,ma_name,ma_level,ma_parent,ma_postal_code
1312062001,Muaro Kiawai,4,131206,26571
1312062002,Rabi Jonggor,4,131206,26571
131207,Ranah Batahan,3,1312,
1312072001,Batahan,4,131207,26366
1312072002,Desa Baru,4,131207,26366
131208,Koto Balingka,3,1312,
1312082001,Parit,4,131208,26572
131209,Sungaiaur,3,1312,
1312092001,Sungai Aua,4,131209,26574
131210,Luhak Nan Duo,3,1312,
1312102001,Koto Baru,4,131210,26568
1312102002,Kapa,4,131210,26568
131211,Sasak Ranah Pesisir,3,1312,
1312112001,Sasak,4,131211,26367
1371,Kota Padang,2,13,
137101,Padang Selatan,3,1371,
1371011001,Belakang Pondok,4,137101,25211
1371011002,Alang Laweh,4,137101,25211
1371011003,Ranah Parak Rumbio,4,137101,25212
1371011004,Pasa Gadang,4,137101,25213
1371011005,Batang Arau,4,137101,25215
1371011006,Seberang Palinggam,4,137101,25215
1371011007,Seberang Padang,4,137101,25214
1371011008,Mata Air,4,137101,25216
1371011009,Rawang,4,137101,25216
1371011010,Teluk Bayur,4,137101,25217
1371011011,Air Manis,4,137101,25217
1371011012,Bukit Gado-Gado,4,137101,25215
137102,Padang Timur,3,1371,
1371021001,Sawahan,4,137102,25121
1371021002,Jati Baru,4,137102,25129
1371021003,Jati,4,137102,25129
1371021004,Sawahan Timur,4,137102,25121
1371021005,Simpang Haru,4,137102,25123
1371021006,Kubu Marapalam,4,137102,25125
1371021007,Andalas,4,137102,25126
1371021008,Kubu Dalam Parak Karakah,4,137102,25126
1371021009,Parak Gadang Timur,4,137102,25123
1371021010,Ganting Parak Gadang,4,137102,25122
137103,Padang Barat,3,1371,
1371031001,Flamboyan Baru,4,137103,25114
1371031002,Rimbo Kaluang,4,137103,25111
1371031003,Ujung Gurun,4,137103,25114
1371031004,Purus,4,137103,25115
1371031005,Padang Pasir,4,137103,25112
1371031006,Olo,4,137103,25117
1371031007,Kampung Jao,4,137103,25112
1371031008,Belakang Tangsi,4,137103,25118
1371031009,Kampung Pondok,4,137103,25119
1371031010,Berok Nipah,4,137103,25118
137104,Padang Utara,3,1371,
1371041001,Air Tawar Timur,4,137104,25132
1371041002,Air Tawar Barat,4,137104,25132
1371041003,Ulak Karang Utara,4,137104,25133
1371041004,Ulak Karang Selatan,4,137104,25134
1371041005,Lolong Belanti,4,137104,25136
1371041006,Alai Parak Kopi,4,137104,25139
1371041007,Gunung Pangilun,4,137104,25137
137105,Bungus Teluk Kabung,3,1371,
1371051001,Bungus Timur,4,137105,25237
1371051002,Bungus Barat,4,137105,25237
1371051003,Bungus Selatan,4,137105,25237
1371051004,Teluk Kabung Utara,4,137105,25237
1371051005,Teluk Kabung Tengah,4,137105,25237
1371051006,Teluk Kabung Selatan,4,137105,25237
137106,Lubuk Begalung,3,1371,
1371061001,Cangkeh Nan Xx,4,137106,25225
1371061002,Kampung Baru Nan Xx,4,137106,25225
1371061003,Tanah Sirah Piai Nan Xx,4,137106,25224
1371061004,Tanjung Saba Pitamen Nan Xx,4,137106,25224
1371061005,Lubuk Begalung Nan Xx,4,137106,25221
1371061006,Gurun Laweh Nan Xx,4,137106,25221
1371061007,Tanjung Aua Nan Xx,4,137106,25222
1371061008,Koto Baru Nan Xx,4,137106,25227
1371061009,Banuaran Nan Xx,4,137106,25222
1371061010,Parak Laweh Pulau Aia Nan Xx,4,137106,25223
1371061011,Batung Taba Nan Xx,4,137106,25223
1371061012,Pagambiran Ampalu Nan Xx,4,137106,25226
1371061013,Pampangan Nan Xx,4,137106,25227
1371061014,Gates Nan Xx,4,137106,25227
1371061015,Kampung Jua Nan Xx,4,137106,25225
137107,Lubuk Kilangan,3,1371,
1371071001,Indarung,4,137107,25237
1371071002,Padang Besi,4,137107,25233
1371071003,Batu Gadang,4,137107,25236
1371071004,Bandar Buat,4,137107,25231
1371071005,Koto Lalang,4,137107,25232
1371071006,Baringin,4,137107,25235
1371071007,Tarantang,4,137107,25234
137108,Pauh,3,1371,
1371081001,Limau Manis,4,137108,25166
1371081002,Koto Lua,4,137108,25164
1371081003,Limau Manis Selatan,4,137108,25163
1371081004,Piai Tangah,4,137108,25162
1371081005,Cupak Tangah,4,137108,25162
1371081006,Pisang,4,137108,25161
1371081007,Binuang Kampuang Dalam,4,137108,25161
1371081008,Kapalo Koto,4,137108,25163
1371081009,Lambung Bukik,4,137108,25168
137109,Kuranji,3,1371,
1371091001,Pasar Ambacang,4,137109,25152
1371091002,Anduring,4,137109,25151
1371091003,Lubuk Lintah,4,137109,25153
1371091004,Ampang,4,137109,25154
1371091005,Kalumbuk,4,137109,25155
1371091006,Korong Gadang,4,137109,25156
1371091007,Kuranji,4,137109,25157
1371091008,Gunung Sarik,4,137109,25158
1371091009,Sungai Sapih,4,137109,25159
137110,Nanggalo,3,1371,
1371101001,Surau Gadang,4,137110,25146
1371101002,Kampung Olo,4,137110,25143
1371101003,Kurao Pagang,4,137110,25147
1371101004,Gurun Laweh,4,137110,25145
1371101005,Tabing Banda Gadang,4,137110,25144
1371101006,Kampung Lapai,4,137110,25142
137111,Koto Tangah,3,1371,
1371111001,Balai Gadang,4,137111,25171
1371111002,Lubuk Minturun,4,137111,25175
1371111003,Aie Pacah,4,137111,25176
1371111004,Dadok Tunggul Hitam,4,137111,25176
1371111005,Koto Panjang Ikua Koto,4,137111,25175
1371111006,Koto Pulai,4,137111,25171
1371111007,Batipuh Panjang,4,137111,25171
1371111008,Padang Sarai,4,137111,25173
1371111009,Lubuk Buaya,4,137111,25173
1371111010,Batang Kabung Ganting,4,137111,25172
1371111011,Bungo Pasang,4,137111,25171
1371111012,Parupuk Tabing,4,137111,25171
1371111013,Pasie Nan Tigo,4,137111,25171
1372,Kota Solok,2,13,
137201,Lubuk Sikarah,3,1372,
1372011001,Tanah Garam,4,137201,27312
1372011002,Vi Suku,4,137201,27311
1372011003,Sinapa Piliang,4,137201,27313
1372011004,Ix Korong,4,137201,27314
1372011005,Kampai Tabu Karambia,4,137201,27315
1372011006,Aro Iv Korong,4,137201,27317
1372011007,Simpang Rumbio,4,137201,27316
137202,Tanjung Harapan,3,1372,
1372021001,Koto Panjang,4,137202,27323
1372021002,Pasar Pandan Air Mati,4,137202,27322
1372021003,Tanjung Paku,4,137202,27324
1372021004,Nan Balimo,4,137202,27326
1372021005,Kampung Jawa,4,137202,27321
1372021006,Laing,4,137202,27325
1373,Kota Sawahlunto,2,13,
137301,Lembah Segar,3,1373,
1373011001,Aur Mulio,4,137301,27418
1373011002,Kubang Sirakuk Utara,4,137301,27415
1373011003,Kubang S. Selatan,4,137301,27415
1373011004,Pasar,4,137301,27411
1373011005,Tanah Lapang,4,137301,27411
1373011006,Aia Dingin,4,137301,27419
1373012007,Lunto Timur,4,137301,27416
1373012008,Lunto Barat,4,137301,27418
1373012009,Kubang Tangah,4,137301,27413
1373012010,Kubang Utara Sikabu,4,137301,27412
1373012011,Pasa Kubang,4,137301,27415
137302,Barangin,3,1373,
1373021001,Saringan,4,137302,27421
1373021002,Lubang Panjang,4,137302,27424
1373021003,Durian I,4,137302,27425
1373021004,Durian Ii,4,137302,27425
1373022005,Santua,4,137302,27424
1373022006,Kolok Mudiak,4,137302,27425
1373022007,Kolok Nan Tuo,4,137302,27427
1373022008,Talago Gunung,4,137302,27423
1373022009,Lumindai,4,137302,27421
